epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,644.018,1.16919,0.39589,0.01697,1,0.96374,0.99312,0.71064,1.07495,0.42502,0.01992,0.0012562,0.0012562,0.0012562
44,659.733,1.1706,0.45979,0.01525,0.99565,0.96667,0.97843,0.69827,1.04978,0.45392,0.01961,0.00122596,0.00122596,0.00122596
45,674.639,1.05243,0.39064,0.01335,0.92438,0.96667,0.97462,0.70607,1.01735,0.60949,0.01882,0.00119551,0.00119551,0.00119551
46,688.509,1.11475,0.44776,0.0154,0.84162,0.9,0.94784,0.70774,0.9496,1.26298,0.01685,0.00116487,0.00116487,0.00116487
47,701.958,1.15376,0.43878,0.01478,0.59796,0.9,0.9313,0.6817,1.05235,1.55754,0.01881,0.00113408,0.00113408,0.00113408
48,716.143,1.12619,0.38778,0.0148,0.73515,0.9,0.94281,0.68705,1.09852,1.26397,0.02055,0.00110317,0.00110317,0.00110317
49,728.851,1.12401,0.4665,0.0156,0.90064,0.96667,0.98808,0.72195,1.12257,0.9498,0.02131,0.00107216,0.00107216,0.00107216
50,743.037,1.13541,0.39402,0.01487,1,0.92124,0.99034,0.74448,1.01538,0.35987,0.0183,0.0010411,0.0010411,0.0010411
51,757.401,1.07379,0.40828,0.01436,0.99757,1,0.995,0.71799,1.02163,0.28868,0.01917,0.00101,0.00101,0.00101
52,772.13,1.15636,0.4661,0.01525,1,0.99955,0.995,0.74341,0.97831,0.24717,0.01792,0.000978903,0.000978903,0.000978903
53,785.275,1.10048,0.38897,0.01431,0.9977,1,0.995,0.7202,1.02164,0.253,0.01814,0.000947837,0.000947837,0.000947837
54,801.001,1.06076,0.4156,0.01406,0.99635,1,0.995,0.75486,0.92555,0.24555,0.01623,0.000916833,0.000916833,0.000916833
55,814.517,1.07921,0.4229,0.01482,0.96647,1,0.99403,0.73556,0.9436,0.27876,0.01665,0.00088592,0.00088592,0.00088592
56,827.215,1.17632,0.48318,0.01572,1,0.99702,0.995,0.7246,1.01517,0.26122,0.01817,0.00085513,0.00085513,0.00085513
57,840.382,1.04335,0.43685,0.01445,1,0.99843,0.995,0.73327,0.98272,0.25675,0.01749,0.000824492,0.000824492,0.000824492
58,853.496,1.08975,0.44626,0.0133,1,0.99793,0.995,0.76088,0.94938,0.24794,0.01693,0.000794038,0.000794038,0.000794038
59,868.524,1.01872,0.39997,0.01344,0.99858,1,0.995,0.7509,0.96316,0.25512,0.01708,0.000763797,0.000763797,0.000763797
60,882.83,1.06849,0.4762,0.01549,0.998,1,0.995,0.7503,1.01998,0.2401,0.0181,0.000733799,0.000733799,0.000733799
61,896.32,1.00537,0.43167,0.01345,0.99788,1,0.995,0.75871,1.01644,0.23908,0.01815,0.000704073,0.000704073,0.000704073
62,909.6,1.02054,0.36038,0.01246,0.99792,1,0.995,0.76517,0.92278,0.22785,0.01639,0.000674649,0.000674649,0.000674649
63,923.492,0.97616,0.37977,0.01304,0.99791,1,0.995,0.72536,0.98688,0.2455,0.01679,0.000645557,0.000645557,0.000645557
64,939.331,1.06213,0.40419,0.01409,0.99815,1,0.995,0.74246,0.94481,0.23066,0.01615,0.000616824,0.000616824,0.000616824
65,954.394,1.03461,0.41134,0.01363,0.99954,1,0.995,0.73742,0.92991,0.24211,0.01611,0.000588479,0.000588479,0.000588479
66,968.685,0.9968,0.39298,0.01291,0.99792,1,0.995,0.75682,0.98204,0.23564,0.01772,0.000560549,0.000560549,0.000560549
67,983.942,0.96274,0.39427,0.01324,0.99812,1,0.995,0.7695,0.95599,0.2329,0.01718,0.000533064,0.000533064,0.000533064
68,998.159,1.0315,0.4072,0.01259,0.99782,1,0.995,0.76756,0.93117,0.23266,0.01629,0.000506049,0.000506049,0.000506049
69,1012.24,1.02912,0.35271,0.01474,1,0.99523,0.995,0.76734,0.92839,0.24239,0.01621,0.000479531,0.000479531,0.000479531
70,1026.98,1.0277,0.36549,0.01262,0.99805,1,0.995,0.77514,0.92477,0.22179,0.01631,0.000453537,0.000453537,0.000453537
71,1042.1,0.94682,0.35335,0.01178,0.99842,1,0.995,0.75185,1.01048,0.24496,0.0177,0.000428093,0.000428093,0.000428093
72,1055.57,0.97662,0.38811,0.01299,0.99795,1,0.995,0.73529,1.08443,0.26541,0.01874,0.000403222,0.000403222,0.000403222
73,1069.06,0.87578,0.29203,0.01122,0.99893,1,0.995,0.73138,1.08612,0.27105,0.0188,0.00037895,0.00037895,0.00037895
74,1082.18,0.90478,0.35752,0.01106,0.99787,1,0.995,0.7461,1.03289,0.25395,0.01797,0.000355301,0.000355301,0.000355301
